timestamp,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1,MToFBin3,MToFBin5,MToFBin7,SamplingPeriod,SFR,Temp,RH,PM_1.000,PM_2.500,PM_10.000,RjtGlitch,RjtLong,RjtRatio,RjtRange,FanRevs,LaserStatus,filename
2023-10-25 15:24:27.915,520,54,11,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0,35,0.68,6.09,31.852,43.733,10.364,16.58,25.287,118,0,1951,12,0,597,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:29.310,570,49,8,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,34,0,0.68,6.72,31.865,43.91,9.339,14.249,17.322,104,0,1874,13,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:30.706,487,72,12,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,0,0.68,6.53,31.865,43.884,9.683,13.316,63.083,127,0,2022,12,0,597,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:32.101,530,53,14,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,29,0,0.68,6.72,31.878,43.778,9.543,13.482,28.711,105,0,2004,9,0,597,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:33.497,510,66,14,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,28,30,0,0.68,6.53,31.878,43.682,10.067,13.805,39.756,91,0,1930,15,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:34.892,512,70,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,35,0,0.68,7.05,31.878,43.654,9.818,15.054,16.452,114,0,1931,16,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:36.288,534,61,15,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,31,0,0.68,6.69,31.865,43.678,10.041,14.787,30.204,94,0,2052,7,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:37.683,533,55,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,33,0,0.68,7.11,31.892,43.697,8.424,12.491,40.546,119,0,2042,8,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:39.079,522,50,11,6,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,31,31,37,0.68,7.04,31.921,43.7,8.951,14.149,147.113,113,0,2063,11,0,598,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:40.474,520,60,14,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0.68,6.68,31.908,43.683,9.525,11.877,40.841,97,0,2027,13,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
